participant,category,recall_status,mean_early_lpp_z,n_trials
235,Negative,Forgotten,1.5532,19
235,Neutral,Remembered,0.6214853571428571,56
235,Neutral,Forgotten,0.4040868571428572,63
236,Negative,Remembered,1.2150239761904762,42
236,Negative,Forgotten,0.84550375,16
236,Neutral,Remembered,0.4498783623376624,77
236,Neutral,Forgotten,0.19853762162162164,37
237,Negative,Remembered,1.4911811764705882,17
237,Negative,Forgotten,0.6717486578947369,38
237,Neutral,Remembered,0.41886847222222223,36
237,Neutral,Forgotten,0.7042323086419753,81
238,Negative,Remembered,1.5728128000000001,30
238,Negative,Forgotten,1.0010983928571429,28
238,Neutral,Remembered,0.12558853750000004,16
238,Neutral,Forgotten,0.6698490297029703,101
239,Negative,Remembered,1.8120205499999997,40
239,Negative,Forgotten,1.2288534285714285,21
239,Neutral,Remembered,1.933044653164557,79
239,Neutral,Forgotten,1.5426399615384616,26
240,Negative,Remembered,0.915795612903226,31
240,Negative,Forgotten,0.048309919999999985,25
240,Neutral,Remembered,0.5656759655172414,29
240,Neutral,Forgotten,0.38981583636363637,88
241,Negative,Remembered,1.037750125,40
241,Negative,Forgotten,0.35529704545454543,22
241,Neutral,Remembered,0.7763208421052631,57
241,Neutral,Forgotten,0.4480600961538462,52
242,Negative,Remembered,2.1638112258064512,31
242,Negative,Forgotten,1.1205007259259259,27
242,Neutral,Remembered,1.3174384210526315,19
242,Neutral,Forgotten,1.2087942553191489,94
