source_type,source_id,source_label,metric,category,recall_status,mean,lower,upper,interval,confidence_level,n_units
predicted,EEM_eCMR,Categorical enhancement + No LPP,recall_rate,Neutral,,0.4104088325317011,0.402705509400962,0.41714035854831655,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR,Categorical enhancement + No LPP,within_list_centered_early_lpp,Neutral,Remembered,-0.1321263426664406,-0.18468599241673753,-0.08247708223733283,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR,Categorical enhancement + No LPP,within_list_centered_early_lpp,Neutral,Forgotten,-0.13133640834404786,-0.1661661730870706,-0.09551692637259723,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR_LPP_General,Categorical enhancement + General LPP,recall_rate,Negative,,0.538954104148279,0.5242497793468667,0.5525264783759929,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR_LPP_General,Categorical enhancement + General LPP,within_list_centered_early_lpp,Negative,Remembered,0.41182737746180564,0.3542516530231989,0.4647501572648962,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR_LPP_General,Categorical enhancement + General LPP,within_list_centered_early_lpp,Negative,Forgotten,0.09491489933539704,0.033618834464115836,0.16072288727163822,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR_LPP_General,Categorical enhancement + General LPP,recall_rate,Neutral,,0.40505684302579764,0.39833296895496284,0.4123414954088325,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR_LPP_General,Categorical enhancement + General LPP,within_list_centered_early_lpp,Neutral,Remembered,-0.09657750818884521,-0.14874043517287855,-0.036473034624343495,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR_LPP_General,Categorical enhancement + General LPP,within_list_centered_early_lpp,Neutral,Forgotten,-0.15551079377960284,-0.19625566552134194,-0.11999754303656805,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR_LPP_EmotionalOnly,Categorical enhancement + Emotion-dependent LPP,recall_rate,Negative,,0.5363018534863194,0.5211496028243601,0.5525375110326567,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR_LPP_EmotionalOnly,Categorical enhancement + Emotion-dependent LPP,within_list_centered_early_lpp,Negative,Remembered,0.42144181765924904,0.36226096912605155,0.4728545988065619,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR_LPP_EmotionalOnly,Categorical enhancement + Emotion-dependent LPP,within_list_centered_early_lpp,Negative,Forgotten,0.0857353659457565,0.026443130124036617,0.14993598967609306,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR_LPP_EmotionalOnly,Categorical enhancement + Emotion-dependent LPP,recall_rate,Neutral,,0.4063707914298208,0.3983275032794053,0.4138773502404897,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR_LPP_EmotionalOnly,Categorical enhancement + Emotion-dependent LPP,within_list_centered_early_lpp,Neutral,Remembered,-0.12756202840065017,-0.18427026023763926,-0.0723568321301925,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR_LPP_EmotionalOnly,Categorical enhancement + Emotion-dependent LPP,within_list_centered_early_lpp,Neutral,Forgotten,-0.1344272061022111,-0.17225332004848135,-0.09546611459239797,Central interval across complete simulated datasets,0.95,200
