model_code,model,registry_id,implementation_parameter,manuscript_symbol,description,estimate,status,lower_bound,upper_bound
C,No emotion-based learning boost + LPP-based learning boost for negative items only,CategoryOnly_eCMR_LPP_EmotionalOnly,source_encoding_drift_rate,\beta_{\mathrm{enc}}^{S},Source-context drift at study,0.11015655845403671,free,2.220446049250313e-16,0.9999999999999998
C,No emotion-based learning boost + LPP-based learning boost for negative items only,CategoryOnly_eCMR_LPP_EmotionalOnly,start_drift_rate,\beta_{\mathrm{start}},Pre-recall drift toward start-of-list context,0.9999911785125732,free,2.220446049250313e-16,0.9999999999999998
C,No emotion-based learning boost + LPP-based learning boost for negative items only,CategoryOnly_eCMR_LPP_EmotionalOnly,recall_drift_rate,\beta_{\mathrm{rec}}^{T},Temporal-context reinstatement after recall,0.14344137907028198,free,2.220446049250313e-16,0.9999999999999998
C,No emotion-based learning boost + LPP-based learning boost for negative items only,CategoryOnly_eCMR_LPP_EmotionalOnly,source_recall_drift_rate,\beta_{\mathrm{rec}}^{S},Source-context reinstatement after recall,1.0,fixed,,
C,No emotion-based learning boost + LPP-based learning boost for negative items only,CategoryOnly_eCMR_LPP_EmotionalOnly,shared_support,\alpha,Shared pre-experimental context-to-item support,1.6940016746520996,free,2.220446049250313e-16,100.0
C,No emotion-based learning boost + LPP-based learning boost for negative items only,CategoryOnly_eCMR_LPP_EmotionalOnly,item_support,\delta,Item-specific pre-experimental context-to-item support,39.12565994262695,free,2.220446049250313e-16,100.0
C,No emotion-based learning boost + LPP-based learning boost for negative items only,CategoryOnly_eCMR_LPP_EmotionalOnly,learning_rate,\gamma,Feature-to-context learning rate,0.13427338004112244,free,2.220446049250313e-16,0.9999999999999998
C,No emotion-based learning boost + LPP-based learning boost for negative items only,CategoryOnly_eCMR_LPP_EmotionalOnly,primacy_scale,\phi_s,Primacy scale,0.19390307366847992,free,2.220446049250313e-16,100.0
C,No emotion-based learning boost + LPP-based learning boost for negative items only,CategoryOnly_eCMR_LPP_EmotionalOnly,primacy_decay,\phi_d,Primacy decay,4.431426525115967,free,2.220446049250313e-16,100.0
C,No emotion-based learning boost + LPP-based learning boost for negative items only,CategoryOnly_eCMR_LPP_EmotionalOnly,choice_sensitivity,\tau_c,Recall-choice sensitivity,1.753919243812561,free,2.220446049250313e-16,100.0
