trial_index,subject,list,recall_count,list_type,condition
168,222,7,6,pure_neutral,2
169,222,8,14,pure_neutral,2
170,222,9,12,pure_negative,1
171,223,1,9,pure_negative,1
172,223,2,9,pure_negative,1
173,223,3,8,pure_negative,1
174,223,4,7,pure_negative,1
175,223,5,10,pure_neutral,2
176,223,6,6,pure_neutral,2
177,223,7,6,pure_neutral,2
178,223,8,5,pure_neutral,2
179,223,9,5,pure_neutral,2
180,224,1,8,pure_neutral,2
181,224,2,8,pure_neutral,2
182,224,3,4,pure_neutral,2
183,224,4,5,pure_neutral,2
184,224,5,8,pure_negative,1
185,224,6,9,pure_negative,1
186,224,7,7,pure_neutral,2
187,224,8,7,pure_negative,1
188,224,9,8,pure_negative,1
189,225,1,9,pure_negative,1
190,225,2,11,pure_neutral,2
191,225,3,11,pure_neutral,2
192,225,4,10,pure_neutral,2
193,225,5,9,pure_negative,1
194,225,6,11,pure_neutral,2
195,225,7,9,pure_negative,1
196,225,8,8,pure_negative,1
197,225,9,10,pure_negative,1
198,226,1,9,pure_neutral,2
199,226,2,13,pure_negative,1
200,226,3,3,pure_neutral,2
201,226,4,6,pure_neutral,2
202,226,5,5,pure_negative,1
203,226,6,2,pure_neutral,2
204,226,7,11,pure_neutral,2
205,226,8,6,pure_negative,1
206,226,9,6,pure_negative,1
207,227,1,11,pure_neutral,2
208,227,2,14,pure_neutral,2
209,227,3,12,pure_negative,1
210,227,4,12,pure_negative,1
211,227,5,15,pure_neutral,2
212,227,6,10,pure_neutral,2
213,227,7,7,pure_negative,1
214,227,8,7,pure_negative,1
215,227,9,12,pure_negative,1
216,229,1,5,pure_neutral,2
217,229,2,8,pure_negative,1
218,229,3,6,pure_neutral,2
219,229,4,5,pure_neutral,2
220,229,5,7,pure_negative,1
221,229,6,9,pure_negative,1
222,229,7,5,pure_neutral,2
223,229,8,9,pure_negative,1
224,229,9,11,pure_neutral,2
225,230,1,8,pure_negative,1
226,230,2,10,pure_neutral,2
227,230,3,7,pure_negative,1
228,230,4,10,pure_neutral,2
229,230,5,12,pure_neutral,2
230,230,6,12,pure_neutral,2
231,230,7,10,pure_negative,1
232,230,8,8,pure_negative,1
233,230,9,12,pure_negative,1
234,231,1,15,pure_neutral,2
235,231,2,7,pure_negative,1
236,231,3,7,pure_negative,1
237,231,4,5,pure_neutral,2
238,231,5,9,pure_negative,1
239,231,6,9,pure_negative,1
240,231,7,12,pure_neutral,2
241,231,8,11,pure_neutral,2
242,231,9,10,pure_negative,1
243,232,1,5,pure_neutral,2
244,232,2,11,pure_neutral,2
245,232,3,8,pure_negative,1
246,232,4,13,pure_negative,1
247,232,5,9,pure_neutral,2
248,232,6,4,pure_neutral,2
249,232,7,11,pure_neutral,2
250,232,8,11,pure_negative,1
251,232,9,9,pure_negative,1
252,233,1,12,pure_neutral,2
253,233,2,8,pure_negative,1
254,233,3,12,pure_neutral,2
255,233,4,13,pure_neutral,2
256,233,5,11,pure_negative,1
257,233,6,8,pure_negative,1
258,233,7,11,pure_negative,1
259,233,8,10,pure_neutral,2
260,233,9,9,pure_negative,1
261,234,1,6,pure_neutral,2
262,234,2,7,pure_negative,1
263,234,3,11,pure_neutral,2
264,234,4,9,pure_negative,1
265,234,5,11,pure_neutral,2
266,234,6,3,pure_negative,1
267,234,7,9,pure_negative,1
268,234,8,5,pure_negative,1
269,234,9,6,pure_neutral,2
270,235,1,12,pure_neutral,2
271,235,2,7,pure_negative,1
272,235,3,14,pure_neutral,2
273,235,4,10,pure_negative,1
274,235,5,8,pure_neutral,2
275,235,6,15,pure_neutral,2
276,235,7,14,pure_negative,1
277,235,8,9,pure_negative,1
278,235,9,9,pure_negative,1
279,236,1,13,pure_negative,1
280,236,2,15,pure_neutral,2
281,236,3,14,pure_neutral,2
282,236,4,14,pure_neutral,2
283,236,5,16,pure_neutral,2
284,236,6,12,pure_negative,1
285,236,7,13,pure_negative,1
286,236,8,12,pure_negative,1
287,236,9,13,pure_negative,1
288,237,1,6,pure_neutral,2
289,237,2,6,pure_neutral,2
290,237,3,5,pure_neutral,2
291,237,4,7,pure_negative,1
292,237,5,5,pure_neutral,2
293,237,6,6,pure_neutral,2
294,237,7,7,pure_negative,1
295,237,8,6,pure_negative,1
296,237,9,8,pure_negative,1
297,238,1,9,pure_neutral,2
298,238,2,5,pure_neutral,2
299,238,3,9,pure_negative,1
300,238,4,7,pure_neutral,2
301,238,5,7,pure_negative,1
302,238,6,1,pure_neutral,2
303,238,7,2,pure_neutral,2
304,238,8,3,pure_negative,1
305,238,9,4,pure_negative,1
306,239,1,11,pure_negative,1
307,239,2,11,pure_negative,1
308,239,3,15,pure_neutral,2
309,239,4,15,pure_neutral,2
310,239,5,16,pure_neutral,2
311,239,6,16,pure_neutral,2
312,239,7,15,pure_negative,1
313,239,8,14,pure_negative,1
314,239,9,13,pure_negative,1
315,240,1,8,pure_neutral,2
316,240,2,14,pure_negative,1
317,240,3,7,pure_negative,1
318,240,4,5,pure_negative,1
319,240,5,6,pure_neutral,2
320,240,6,6,pure_neutral,2
321,240,7,6,pure_neutral,2
322,240,8,6,pure_neutral,2
323,240,9,5,pure_negative,1
324,241,1,11,pure_neutral,2
325,241,2,10,pure_negative,1
326,241,3,13,pure_neutral,2
327,241,4,9,pure_negative,1
328,241,5,9,pure_negative,1
329,241,6,11,pure_neutral,2
330,241,7,14,pure_neutral,2
331,241,8,11,pure_negative,1
332,241,9,10,pure_negative,1
333,242,1,12,pure_negative,1
334,242,2,5,pure_neutral,2
335,242,3,6,pure_neutral,2
336,242,4,7,pure_neutral,2
337,242,5,2,pure_negative,1
338,242,6,6,pure_negative,1
339,242,7,4,pure_neutral,2
340,242,8,6,pure_negative,1
341,242,9,3,pure_neutral,2
