stage,candidate,experiment_count,encoding_drift_rate,start_drift_rate,recall_drift_rate,shared_support,item_support,learning_rate,primacy_scale,primacy_decay,choice_sensitivity,emotion_scale,lpp_main_scale,lpp_inter_scale,source_encoding_drift_rate,source_learning_rate,mixed_negative_delta,mixed_neutral_delta,pure_negative_delta,pure_neutral_delta,mixed_cross_category_margin,pure_cross_category_margin,mixed_negative_recalled,mixed_negative_forgotten,mixed_neutral_recalled,mixed_neutral_forgotten,pure_negative_recalled,pure_negative_forgotten,pure_neutral_recalled,pure_neutral_forgotten,score
boundary_search,0,3,0.7526938319206238,0.9999171495437622,0.14938905835151672,7.5664544105529785,61.35744857788086,0.26261141896247864,0.7354971766471863,0.8523863554000854,1.7813348770141602,1.7822833061218262,0.006866815034300089,0.0,0.09063605219125748,3.5453085899353027,-0.0008060436107609759,0.03272623443779976,0.06590551118393995,0.03690063274514516,0.39038054466149524,-0.029808555386568347,0.7808763669117501,0.7816824105225111,0.39049582225025486,0.3577695878124551,0.5536163923779417,0.48771088119400174,0.5175194365805701,0.48061880383542493,3.150271256823982
boundary_search,1,3,0.2098221248549535,0.4654280842886092,0.08858653195582292,23.08965213899006,1.5656850563745306,0.20552316125571252,0.062347133729695706,0.07846937446124082,4.337191867129804,1.574074016963772,0.046187109334490335,0.0,0.6683891331404253,0.9742439604418404,0.017530547945122987,0.022998137595622137,0.07654891371432887,0.06069643578590139,0.3756619268832238,-0.047588577297957346,0.7768279157186809,0.7592973677735579,0.38363544089033413,0.360637303294712,0.5593490136150074,0.48280009990067857,0.5303886771986359,0.4696922414127345,2.3164629523121456
boundary_search,2,3,0.6815850080365672,0.1821436746780276,0.02228824289040397,11.822280702089158,0.3549338917058878,0.04535721499123494,0.12471766689420846,0.5541245208761562,0.22945424927326,6.4600263942948555,0.19253775865293615,0.0,0.7677243711463627,0.1802385313804173,0.020806055516004562,0.011928551834180845,0.07010248776427219,0.04686154275642418,0.38185098558958425,-0.040178962076376945,0.7800608420450437,0.7592547865290391,0.37740380093945486,0.365475249105274,0.5564942570452235,0.4863917692809513,0.5265707313573282,0.47970918860090406,2.4910737078219354
boundary_search,3,3,0.9056748635791876,0.7334093329793048,0.7665797615168694,3.085251367539705,0.18116966007145144,0.8221444907096915,0.1360363332489918,0.43432407045336147,2.474017923797368,1.2794689849623995,0.1277988498740656,0.0,0.5843363814085853,0.2573459486850117,0.06516256918640506,0.027820622695511887,0.09470829568607242,0.08382923489338473,0.3547683546417638,-0.06946272403001785,0.8051013106382207,0.7399387414518156,0.3851703868100518,0.3573497641145399,0.5685394293089446,0.4738311336228722,0.5432938576528901,0.45946462275950534,1.5656623059288972
boundary_search,4,3,0.9610508733723134,0.9010808845567161,0.7389562356624385,44.26114152423513,12.759962861029843,0.6511671158815721,1.6627668620341454,14.967979744591801,2.7645636973555288,4.487550028252095,0.11708032966984926,0.0,0.45791431172058217,0.16225300267128143,0.022336232034783632,-0.009941992988675152,0.06016210055493404,0.06437080608386747,0.3825992040909018,-0.044217152226912415,0.7809059635588997,0.7585697315241161,0.36602853444453914,0.3759705274332143,0.5511723419614626,0.49101024140652855,0.535227393633441,0.4708565875495735,2.072180187017518
boundary_search,5,3,0.7835962010350519,0.8584348394225049,0.18195800507200705,1.242013264731024,5.320362169564737,0.2649679999158963,0.7426393191384236,0.1334663288195606,5.215735701195496,1.103828318341472,0.12156126939390571,0.0,0.4417468612166429,7.561717144007786,1.3301413555286432,1.169205469845206,1.300314214423691,1.3738143426170082,-1.017860456253402,-1.290488325255482,1.3791611649488147,0.049019809420171534,1.0668802656735734,-0.10232520417163246,1.2329857081272884,-0.06732850629640252,1.2231598189590793,-0.15065452365792895,151.16308608325235
boundary_search,6,3,0.935332387552848,0.10400913686964611,0.9643979096987249,0.43066642702046865,0.47290364696592735,0.9776896855818089,0.24760165302317508,19.728159407193235,12.854709744250084,2.2721656527748286,0.13038414506903315,0.0,0.8839952779550703,0.70187209050981,nan,nan,1.8181387361041024,1.5327416568210253,nan,-1.6001811800524592,nan,nan,nan,nan,1.5210598234675432,-0.2970789126365593,1.3031022674159,-0.22963938940512507,1000000.0
boundary_search,7,3,0.1723675336881472,0.7659534405677207,0.36052548922553096,82.0479852390453,0.9760735407854085,0.49768903231470674,2.937402157710692,0.9835212476355348,0.7569630854148999,4.9836223797083585,0.09263472178336188,0.0,0.8082491654694756,3.9628368248428294,0.038922850630785266,0.02600676860464246,0.10294970502390671,0.03605869875632617,0.36738128332715286,-0.04828809209069923,0.7909626149033245,0.7520397642725393,0.3846584809453864,0.35865171234074394,0.573403401398345,0.4704536963744383,0.5187417884651375,0.48268308970881135,2.9381504190113157
boundary_search,8,3,0.1281729415098563,0.1846088966215744,0.1431363279299514,2.365302070508686,0.10204815086526028,0.7072812241963649,0.13470123591700758,1.7357017033595807,1.4159984400446493,8.128084732023622,0.043167425081398585,0.0,0.6302716938022194,5.476633274365397,0.33731870583601686,0.13888104191344036,0.2150172144664746,0.12795245948884826,0.03914836294164781,-0.1492294738510329,0.8456830954865405,0.5083643896505237,0.46921602670887586,0.3303349847954355,0.6336948314779683,0.41867761701149375,0.5679070908625267,0.4399546313736784,2.8288049257109913
boundary_search,9,3,0.7729000653728486,0.6719999285835212,0.16763788929467116,56.89174048839288,62.04016771607022,0.9543535179310315,7.072975306863681,1.6287530516427982,17.887883658922966,5.501844190610215,0.1260164284626266,0.0,0.6461095118180703,2.043943050841616,0.5807328447699547,0.10195814380667323,0.5580952169961835,0.12448545687488816,-0.03510272792099339,-0.29963731226560314,0.981937009056932,0.40120416428697736,0.43630689220797075,0.3343487484012975,0.8211752600281647,0.2630800430319811,0.5627173552975843,0.4382318984226961,19.967263956349743
