list_type,condition,recall,label,mean,sem,ci95_low,ci95_high,participant_count
Mixed lists,Negative,Recalled,Negative Recalled,0.8350842528437313,0.10557978836193103,0.6281478676543465,1.042020638033116,38
Mixed lists,Negative,Forgotten,Negative Forgotten,0.7305290419608355,0.10525583920044615,0.5242275971279611,0.9368304867937098,38
Mixed lists,Neutral,Recalled,Neutral Recalled,0.41768496210294725,0.0925685325963999,0.23625063821400347,0.599119285991891,38
Mixed lists,Neutral,Forgotten,Neutral Forgotten,0.3388847490576537,0.09055647600055339,0.16139405609656907,0.5163754420187383,38
Pure lists,Negative,Recalled,Negative Recalled,0.5800301915916958,0.09645058195978608,0.39098705095051506,0.7690733322328764,38
Pure lists,Negative,Forgotten,Negative Forgotten,0.46338374317795233,0.09326795518172012,0.28057855102178086,0.6461889353341238,38
Pure lists,Neutral,Recalled,Neutral Recalled,0.5551825229194947,0.09629432837611694,0.36644563930230545,0.7439194065366839,38
Pure lists,Neutral,Forgotten,Neutral Forgotten,0.4581015794109063,0.09326463656805506,0.2753028917375184,0.6409002670842943,38
