list_type,condition,recall,label,mean,sem,ci95_low,ci95_high,participant_count
Mixed lists,Negative,Recalled,Negative Recalled,0.9408051867626215,0.10923364415889295,0.7267072442111913,1.1549031293140517,38
Mixed lists,Negative,Forgotten,Negative Forgotten,0.5934352917890799,0.10076346767961061,0.39593889513704317,0.7909316884411167,38
Mixed lists,Neutral,Recalled,Neutral Recalled,0.4152609797586736,0.09243118210225143,0.2340958628382608,0.5964260966790864,38
Mixed lists,Neutral,Forgotten,Neutral Forgotten,0.34408522882547815,0.09072610583988776,0.16626206137929814,0.5219083962716582,38
Pure lists,Negative,Recalled,Negative Recalled,0.7063337362028266,0.10052119025242269,0.5093122033080781,0.903355269097575,38
Pure lists,Negative,Forgotten,Negative Forgotten,0.3626797535260649,0.09022644886268505,0.18583591375520223,0.5395235932969276,38
Pure lists,Neutral,Recalled,Neutral Recalled,0.5574667589971796,0.09625243400445227,0.36881198834845313,0.7461215296459061,38
Pure lists,Neutral,Forgotten,Neutral Forgotten,0.45644545398260417,0.09371001452535888,0.27277382551290075,0.6401170824523076,38
