model_code,model,registry_id,implementation_parameter,manuscript_symbol,description,estimate,status,lower_bound,upper_bound
C,No emotion-based learning boost + LPP-based learning boost for negative items only,CategoryOnly_eCMR_LPP_EmotionalOnly,source_encoding_drift_rate,\beta_{\mathrm{enc}}^{S},Source-context drift at study,0.017176836729049683,free,2.220446049250313e-16,0.9999999999999998
C,No emotion-based learning boost + LPP-based learning boost for negative items only,CategoryOnly_eCMR_LPP_EmotionalOnly,start_drift_rate,\beta_{\mathrm{start}},Pre-recall drift toward start-of-list context,0.9999839663505554,free,2.220446049250313e-16,0.9999999999999998
C,No emotion-based learning boost + LPP-based learning boost for negative items only,CategoryOnly_eCMR_LPP_EmotionalOnly,recall_drift_rate,\beta_{\mathrm{rec}}^{T},Temporal-context reinstatement after recall,0.17007280886173248,free,2.220446049250313e-16,0.9999999999999998
C,No emotion-based learning boost + LPP-based learning boost for negative items only,CategoryOnly_eCMR_LPP_EmotionalOnly,source_recall_drift_rate,\beta_{\mathrm{rec}}^{S},Source-context reinstatement after recall,1.0,fixed,,
C,No emotion-based learning boost + LPP-based learning boost for negative items only,CategoryOnly_eCMR_LPP_EmotionalOnly,shared_support,\alpha,Shared pre-experimental context-to-item support,6.223549842834473,free,2.220446049250313e-16,100.0
C,No emotion-based learning boost + LPP-based learning boost for negative items only,CategoryOnly_eCMR_LPP_EmotionalOnly,item_support,\delta,Item-specific pre-experimental context-to-item support,31.431533813476562,free,2.220446049250313e-16,100.0
C,No emotion-based learning boost + LPP-based learning boost for negative items only,CategoryOnly_eCMR_LPP_EmotionalOnly,learning_rate,\gamma,Feature-to-context learning rate,0.30068808794021606,free,2.220446049250313e-16,0.9999999999999998
C,No emotion-based learning boost + LPP-based learning boost for negative items only,CategoryOnly_eCMR_LPP_EmotionalOnly,primacy_scale,\phi_s,Primacy scale,0.16018150746822357,free,2.220446049250313e-16,100.0
C,No emotion-based learning boost + LPP-based learning boost for negative items only,CategoryOnly_eCMR_LPP_EmotionalOnly,primacy_decay,\phi_d,Primacy decay,22.287109375,free,2.220446049250313e-16,100.0
C,No emotion-based learning boost + LPP-based learning boost for negative items only,CategoryOnly_eCMR_LPP_EmotionalOnly,choice_sensitivity,\tau_c,Recall-choice sensitivity,3.6255316734313965,free,2.220446049250313e-16,100.0
C,No emotion-based learning boost + LPP-based learning boost for negative items only,CategoryOnly_eCMR_LPP_EmotionalOnly,source_learning_rate,\omega,Source learning relative to temporal learning,5.875893592834473,free,2.220446049250313e-16,10.0
C,No emotion-based learning boost + LPP-based learning boost for negative items only,CategoryOnly_eCMR_LPP_EmotionalOnly,emotion_scale,\phi_{\mathrm{emot}},Categorical multiplier for negative items,1.0,fixed,,
C,No emotion-based learning boost + LPP-based learning boost for negative items only,CategoryOnly_eCMR_LPP_EmotionalOnly,lpp_main_scale,\kappa,General Early-LPP slope on log learning strength,0.0,fixed,,
C,No emotion-based learning boost + LPP-based learning boost for negative items only,CategoryOnly_eCMR_LPP_EmotionalOnly,lpp_inter_scale,\kappa_{\mathrm{emot}},Emotion-dependent Early-LPP slope increment,0.09923690557479858,free,0.0,0.21454430108484696
D,Emotion-based learning boost + no LPP-based learning boost,EEM_eCMR,encoding_drift_rate,\beta_{\mathrm{enc}}^{T},Temporal-context drift at study,0.8272089958190918,free,2.220446049250313e-16,0.9999999999999998
D,Emotion-based learning boost + no LPP-based learning boost,EEM_eCMR,source_encoding_drift_rate,\beta_{\mathrm{enc}}^{S},Source-context drift at study,0.056109316647052765,free,2.220446049250313e-16,0.9999999999999998
