source_type,source_id,source_label,metric,category,recall_status,mean,lower,upper,interval,confidence_level,n_units
predicted,EEM_eCMR,Categorical enhancement + No LPP,recall_rate,Neutral,,0.40765850459116765,0.40049737647573236,0.41430367293397463,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR,Categorical enhancement + No LPP,within_list_centered_early_lpp,Neutral,Remembered,-0.13118089812172187,-0.1934664554179618,-0.07812372828520942,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR,Categorical enhancement + No LPP,within_list_centered_early_lpp,Neutral,Forgotten,-0.13198102398817574,-0.16770690082518977,-0.08881926031607552,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR_LPP_General,Categorical enhancement + General LPP,recall_rate,Negative,,0.5431972639011471,0.5273609885260371,0.556531332744925,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR_LPP_General,Categorical enhancement + General LPP,within_list_centered_early_lpp,Negative,Remembered,0.392540089581284,0.3284321519277823,0.44771214373086754,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR_LPP_General,Categorical enhancement + General LPP,within_list_centered_early_lpp,Negative,Forgotten,0.11486482304188698,0.0492974755798738,0.19251132862521705,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR_LPP_General,Categorical enhancement + General LPP,recall_rate,Neutral,,0.40295474420638405,0.39634892872759075,0.41080017490161785,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR_LPP_General,Categorical enhancement + General LPP,within_list_centered_early_lpp,Neutral,Remembered,-0.10182126683151664,-0.15547876294757057,-0.03915194187575743,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR_LPP_General,Categorical enhancement + General LPP,within_list_centered_early_lpp,Neutral,Forgotten,-0.15174354316454675,-0.19421903966423665,-0.11581766447533529,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR_LPP_EmotionalOnly,Categorical enhancement + Emotion-dependent LPP,recall_rate,Negative,,0.5292122683142096,0.5127758164165931,0.5450242718446602,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR_LPP_EmotionalOnly,Categorical enhancement + Emotion-dependent LPP,within_list_centered_early_lpp,Negative,Remembered,0.44482247851187023,0.384437032276201,0.510737541911154,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR_LPP_EmotionalOnly,Categorical enhancement + Emotion-dependent LPP,within_list_centered_early_lpp,Negative,Forgotten,0.06453141568767556,-0.004937373397125343,0.13375847713900216,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR_LPP_EmotionalOnly,Categorical enhancement + Emotion-dependent LPP,recall_rate,Neutral,,0.40988303454306957,0.4020496283340621,0.41802579798863143,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR_LPP_EmotionalOnly,Categorical enhancement + Emotion-dependent LPP,within_list_centered_early_lpp,Neutral,Remembered,-0.12298247184186736,-0.17931409596451545,-0.06907942201943848,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR_LPP_EmotionalOnly,Categorical enhancement + Emotion-dependent LPP,within_list_centered_early_lpp,Neutral,Forgotten,-0.13765976039693992,-0.1748294819223295,-0.09855196339568276,Central interval across complete simulated datasets,0.95,200
